TATO RADKA JE K NICEMU
0;qhtrwza;lpxmvei;15;15;15
1;dksuoqn;bfyrcjt;15;15;15
2;zngwkea;vqplxsr;18;15;15
3;ajdmtco;wrbzfyu;15;20;18
4;hkeoxqn;mltgvis;15;15;15
5;cqarfzd;ypxnkwu;15;15;15
6;sdbjvle;otzrqmh;15;18;15
7;fucywxa;igdplkn;15;15;15
8;rjmhvzs;nkxbtqo;15;15;15
9;ezwcvpy;ulfasrd;15;15;15
10;tqnbyxm;vpogcik;18;15;15
11;rwsdhex;jznqalf;15;15;15
12;kbvmgpy;xfutdrl;15;15;15
13;cneowiq;yhgkzps;15;15;15
14;pqvljtr;aokmsdx;15;18;15
15;gtwczbe;slrqvny;15;28;15
16;dimxkfu;hezbwqo;18;18;15
17;nxcrjap;ujtykvl;15;20;15
18;bqzspme;wvfdkri;15;18;15
19;lotxjcu;eshpgna;15;15;15
